"Paul Kevin Wiffen"	"PAUL KEVIN WIFFEN"	"llp designated member"	"DARK STAR PRODUCTIONS LLP"	"OC321599"	"gb"	"https://opencorporates.com/companies/gb/OC321599"
"Paul Kevin Wiffen"	"PAUL KEVIN WIFFEN"	"secretary"	"SEK'D UK LIMITED"	4004298	"gb"	"https://opencorporates.com/companies/gb/04004298"
"Karl Berresford Davies"						
"Raymond Charles Mitchell Spalding"						
"Edmond Max Rosenthal"	"EDMOND MAX ROSENTHAL"	"director"	"SAVE THE WORLD CLUB"	4552663	"gb"	"https://opencorporates.com/companies/gb/04552663"
"Rupert Smith"	"ALEXANDER RUPERT SMITH"	"director"	"BUCHANAN COMPUTING LIMITED"	3274424	"gb"	"https://opencorporates.com/companies/gb/03274424"
"Rupert Smith"	"ANDREW RUPERT FRERE-SMITH"	"director"	"MID NORFOLK FOODBANK"	8125286	"gb"	"https://opencorporates.com/companies/gb/08125286"
"Rupert Smith"	"ANDREW RUPERT FRERE-SMITH"	"director"	"DEREHAM COMMUNITY SUPPORT CENTRE"	7667943	"gb"	"https://opencorporates.com/companies/gb/07667943"
"Rupert Smith"	"ANDREW RUPERT FRERE-SMITH"	"secretary"	"DEREHAM COMMUNITY SUPPORT CENTRE"	7667943	"gb"	"https://opencorporates.com/companies/gb/07667943"
"Rupert Smith"	"CHARLES RUPERT HUTCHINSON-SMITH"	"director"	"MILES MACADAM CONSTRUCTION LTD"	974522	"gb"	"https://opencorporates.com/companies/gb/00974522"
"Rupert Smith"	"CHRISTOPHER RUPERT SMITH"	"director"	"HARD LABOUR LIMITED"	2399874	"gb"	"https://opencorporates.com/companies/gb/02399874"
"Rupert Smith"	"GUY RUPERT CAMERON WARD SMITH"	"director"	"MULTIPLAY (UK) LIMITED"	3370594	"gb"	"https://opencorporates.com/companies/gb/03370594"
"Rupert Smith"	"JAMES RUPERT MCCOSKER-SMITH"	"director"	"OPUS BUSINESS SOLUTIONS LTD"	6634275	"gb"	"https://opencorporates.com/companies/gb/06634275"
"Rupert Smith"	"JAMES RUPERT MCCOSKER-SMITH"	"director"	"OPUS BUSINESS SOLUTIONS LTD"	6634275	"gb"	"https://opencorporates.com/companies/gb/06634275"
"Rupert Smith"	"JOHN RUPERT QUENTIN NICHOLSON SMITH"	"director"	"NICHOLSON'S AIRCRAFT SEALS LIMITED"	1126796	"gb"	"https://opencorporates.com/companies/gb/01126796"
"Rupert Smith"	"JOHN RUPERT QUENTIN NICHOLSON SMITH"	"director"	"NICHOLSONS SEALING TECHNOLOGIES LIMITED"	188150	"gb"	"https://opencorporates.com/companies/gb/00188150"
"Rupert Smith"	"MARK RUPERT SMITH"	"director"	"HALES TECHNOLOGY LIMITED"	3684147	"gb"	"https://opencorporates.com/companies/gb/03684147"
"Rupert Smith"	"MARK RUPERT SMITH"	"secretary"	"KRF. UK. LTD."	2675788	"gb"	"https://opencorporates.com/companies/gb/02675788"
"Rupert Smith"	"MARK RUPERT SMITH"	"director"	"KRF. UK. LTD."	2675788	"gb"	"https://opencorporates.com/companies/gb/02675788"
"Rupert Smith"	"NICHOLAS RUPERT PARIS SMITH"	"llp designated member"	"SHACKLOCKS LLP"	"OC360847"	"gb"	"https://opencorporates.com/companies/gb/OC360847"
"Rupert Smith"	"NICHOLAS RUPERT PARIS SMITH"	"director"	"ST. PETER'S HOUSE (NOMINEES) LIMITED"	1770224	"gb"	"https://opencorporates.com/companies/gb/01770224"
"Rupert Smith"	"NICHOLAS RUPERT PARIS SMITH"	"director"	"ST. PETER'S HOUSE LIMITED"	1768001	"gb"	"https://opencorporates.com/companies/gb/01768001"
"Rupert Smith"	"PHILLIP RUPERT DEREK SMITH"	"secretary"	"CLINICAL WASTE MANAGEMENT LTD"	3352177	"gb"	"https://opencorporates.com/companies/gb/03352177"
"Rupert Smith"	"PHILLIP RUPERT DEREK SMITH"	"director"	"CLINICAL WASTE MANAGEMENT LTD"	3352177	"gb"	"https://opencorporates.com/companies/gb/03352177"
"Rupert Smith"	"PHLIP NICHOLAS RUPERT SMITH"	"secretary"	"57 RIDGE ROAD MANAGEMENT COMPANY LIMITED"	2408823	"gb"	"https://opencorporates.com/companies/gb/02408823"
"Rupert Smith"	"RUPERT ALEC LANGLY-SMITH"	"director"	"PROVIZ LTD"	6951223	"gb"	"https://opencorporates.com/companies/gb/06951223"
"Rupert Smith"	"RUPERT ALEXANDER SMITH"	"director"	"DIAL TAMESIDE TRADING CO. LIMITED"	3880462	"gb"	"https://opencorporates.com/companies/gb/03880462"
"Rupert Smith"	"RUPERT ALEXANDER SMITH"	"director"	"CHILD HEALTHCARE LIMITED"	6513762	"gb"	"https://opencorporates.com/companies/gb/06513762"
"Rupert Smith"	"RUPERT ALEXANDER SMITH"	"director"	"DIAL TAMESIDE"	2399525	"gb"	"https://opencorporates.com/companies/gb/02399525"
"Rupert Smith"	"RUPERT ANTHONY SMITH"	"director"	"DRAMATEC LIMITED"	4249435	"gb"	"https://opencorporates.com/companies/gb/04249435"
"Rupert Smith"	"RUPERT ANTHONY SMITH"	"secretary"	"THINKCO (UK) LIMITED"	5000518	"gb"	"https://opencorporates.com/companies/gb/05000518"
"Rupert Smith"	"RUPERT ANTHONY SMITH"	"director"	"GENERALCO LIMITED"	4784485	"gb"	"https://opencorporates.com/companies/gb/04784485"
"Rupert Smith"	"RUPERT ANTHONY SMITH"	"director"	"DINWOOD MAINTENANCE LIMITED"	1382028	"gb"	"https://opencorporates.com/companies/gb/01382028"
"Rupert Smith"	"RUPERT ANTHONY WILLINGTON SMITH"	"director"	"17 CALTHORPE ROAD LIMITED"	1927461	"gb"	"https://opencorporates.com/companies/gb/01927461"
"Rupert Smith"	"RUPERT BARROWCLIFF SMITH"	"director"	"AUDIO VISUAL INTERIORS LTD."	3500093	"gb"	"https://opencorporates.com/companies/gb/03500093"
"Dennis James Wiffen"						
"Betty Patricia Wiffen"						
"Richard Andrew Perry"	"ANDREW RICHARD PERRY"	"secretary"	"RJP ENGINEERING SERVICES (WORCESTER) LTD"	6209795	"gb"	"https://opencorporates.com/companies/gb/06209795"
"Richard Andrew Perry"	"ANDREW RICHARD PERRY"	"secretary"	"REMEDY FOR BUSINESS LTD"	3917452	"gb"	"https://opencorporates.com/companies/gb/03917452"
"Richard Andrew Perry"	"ANDREW RICHARD PERRY"	"director"	"ANDREW PERRY ORTHOPAEDICS LTD"	7873092	"gb"	"https://opencorporates.com/companies/gb/07873092"
