Laurence Stassen,,,,,,""
Alwyn Deacon,ALWYN MARK DEACON,secretary,ELIOTTS BISTRO LIMITED,04837306,gb,https://opencorporates.com/companies/gb/04837306
Anthony Bamber,ANTHONY BAMBER,director,EPCGLOBAL LIMITED,04506520,gb,https://opencorporates.com/companies/gb/04506520
Anthony Bamber,ANTHONY BAMBER,director,TALASCEND HOLDINGS LIMITED,04413598,gb,https://opencorporates.com/companies/gb/04413598
Anthony Bamber,ANTHONY BAMBER,secretary,ADSTONE LIMITED,05584623,gb,https://opencorporates.com/companies/gb/05584623
Anthony Bamber,ANTHONY BAMBER,director,ADSTONE LIMITED,05584623,gb,https://opencorporates.com/companies/gb/05584623
Anthony Bamber,ANTHONY BAMBER,director,TALASCEND LIMITED,04187662,gb,https://opencorporates.com/companies/gb/04187662
Anthony Bamber,ANTHONY BAMBER,director,LSU LIMITED,03959730,gb,https://opencorporates.com/companies/gb/03959730
Anthony Bamber,ANTHONY BAMBER,secretary,INSURANCE & REINSURANCE LEGACY ASSOCIATION LIMITED,05473672,gb,https://opencorporates.com/companies/gb/05473672
Anthony Bamber,ANTHONY BAMBER,director,INSURANCE & REINSURANCE LEGACY ASSOCIATION LIMITED,05473672,gb,https://opencorporates.com/companies/gb/05473672
Anthony Bamber,ANTHONY BAMBER,director,MARLON INSURANCE COMPANY LIMITED,00998720,gb,https://opencorporates.com/companies/gb/00998720
Anthony Bamber,ANTHONY BERNARD BAMBER,director,TONY BAMBER CONSULTANCY LIMITED,06160114,gb,https://opencorporates.com/companies/gb/06160114
Anthony Bamber,ANTHONY BERNARD BAMBER,director,METLAW SERVICES LIMITED,04244624,gb,https://opencorporates.com/companies/gb/04244624
Anthony Bamber,ANTHONY BERNARD BAMBER,director,TONY BAMBER TECHNICAL SERVICES LIMITED,07604173,gb,https://opencorporates.com/companies/gb/07604173
Anthony Bamber,ANTHONY FREDERICK BAMBER,secretary,THE GOLFERS TRAVEL COMPANY LTD,03575638,gb,https://opencorporates.com/companies/gb/03575638
Anthony Bamber,ANTHONY FREDERICK BAMBER,director,THE BIG GREEN TRADING COMPANY LIMITED,00705437,gb,https://opencorporates.com/companies/gb/00705437
Anthony Bamber,ANTHONY FREDERICK BAMBER,director,COMMUNITY CINEMAS LIMITED,05217244,gb,https://opencorporates.com/companies/gb/05217244
Anthony Bamber,ANTHONY FREDERICK BAMBER,secretary,COMMUNITY CINEMAS LIMITED,05217244,gb,https://opencorporates.com/companies/gb/05217244
Anthony Bamber,ANTHONY FREDERICK BAMBER,director,RAINBOW RECORDABLE CARDS LTD,07740946,gb,https://opencorporates.com/companies/gb/07740946
Anthony Bamber,ANTHONY FREDERICK BAMBER,director,FUNK'D GOLF LTD,05792206,gb,https://opencorporates.com/companies/gb/05792206
Anthony Bamber,ANTHONY FREDERICK BAMBER,secretary,FUNK'D GOLF LTD,05792206,gb,https://opencorporates.com/companies/gb/05792206
Anthony Bamber,ANTHONY GREG BAMBER,director,AGB CONSULTANTS LTD,06117309,gb,https://opencorporates.com/companies/gb/06117309
Anthony Bamber,ANTHONY GREG BAMBER,director,CARING HANDS HOMECARE (FYLDE & WYRE) LIMITED,07156473,gb,https://opencorporates.com/companies/gb/07156473
Anthony Bamber,ANTHONY LEE BAMBER,director,J & S SURVEYORS (U.K.) LTD,07447651,gb,https://opencorporates.com/companies/gb/07447651
Anthony Bamber,ANTHONY LEONARD BAMBER,secretary,CILCENNIN CYNTAF,06118796,gb,https://opencorporates.com/companies/gb/06118796
Anthony Bamber,ANTHONY LEONARD BAMBER,director,CILCENNIN CYNTAF,06118796,gb,https://opencorporates.com/companies/gb/06118796
Anthony Bamber,ANTHONY LEONARD BAMBER,director,CHIPPENHAM ROTARY AND INNER WHEEL TRUST LIMITED,01983372,gb,https://opencorporates.com/companies/gb/01983372
Anthony Bamber,ANTHONY NICHOLAS BAMBER,secretary,GARSTANG GARAGE LIMITED,00688996,gb,https://opencorporates.com/companies/gb/00688996
Anthony Bamber,ANTHONY NICHOLAS BAMBER,secretary,BAMBER BROS.LIMITED,00556110,gb,https://opencorporates.com/companies/gb/00556110
Anthony Bamber,ANTHONY NICHOLAS BAMBER,secretary,BAMBER BROS(DEVELOPMENT) LIMITED,00458942,gb,https://opencorporates.com/companies/gb/00458942
Anthony Bamber,ANTHONY NICHOLAS BAMBER,secretary,SCOTFORTH GARAGE LIMITED,00943297,gb,https://opencorporates.com/companies/gb/00943297
Anthony Bamber,DAVID ANTHONY BAMBER,director,BOOTS AND RACQUETS LIMITED,01258017,gb,https://opencorporates.com/companies/gb/01258017
Brenda Waterhouse,BRENDA MARGUERITE WATERHOUSE,secretary,JAMES BLUNDELL AND SONS LIMITED,00091601,gb,https://opencorporates.com/companies/gb/00091601
Brenda Waterhouse,BRENDA MARGUERITE WATERHOUSE,secretary,BLUNDELL (FILES & TOOLS) LIMITED,01253420,gb,https://opencorporates.com/companies/gb/01253420
Mark Jones,ADAM MARK JONES,director,CLASSIC CONSULTANTS (BIRMINGHAM) LTD,06610281,gb,https://opencorporates.com/companies/gb/06610281
Mark Jones,ADAM MARK JONES,secretary,DYNAMIC RIGGING LIMITED,06257725,gb,https://opencorporates.com/companies/gb/06257725
Mark Jones,ADAM MARK JONES,director,AMJ HR PROJECTS LTD,08385514,gb,https://opencorporates.com/companies/gb/08385514
Mark Jones,ADAM MARK JONES,llp designated member,BIRKETTS LLP,OC317545,gb,https://opencorporates.com/companies/gb/OC317545
Mark Jones,ADAM MARK JONES,director,ORMSKIRK CARPET CENTRE LIMITED,02506545,gb,https://opencorporates.com/companies/gb/02506545
Mark Jones,ADAM MARK JONES,secretary,HIKMA UK LIMITED,05497478,gb,https://opencorporates.com/companies/gb/05497478
Mark Jones,ADAM MARK JONES,director,HIKMA UK LIMITED,05497478,gb,https://opencorporates.com/companies/gb/05497478
Mark Jones,ADAM MARK JONES,secretary,DYNAMIC EVENTS LIMITED,06257755,gb,https://opencorporates.com/companies/gb/06257755
Mark Jones,ADRIAN MARK HARDING-JONES,director,AUDIO DESIGN INSPIRATION LIMITED,08445491,gb,https://opencorporates.com/companies/gb/08445491
Mark Jones,ADRIAN MARK HECTOR JONES,director,MARKSTONE MANAGEMENT LIMITED,03782607,gb,https://opencorporates.com/companies/gb/03782607
Mark Jones,ADRIAN MARK JONES,director,ADEANT LIMITED,05108948,gb,https://opencorporates.com/companies/gb/05108948
Mark Jones,ADRIAN MARK JONES,secretary,A. JONES (MEDIA) LTD.,03454889,gb,https://opencorporates.com/companies/gb/03454889
Mark Jones,ADRIAN MARK JONES,director,A J HYDRO LIMITED,05325580,gb,https://opencorporates.com/companies/gb/05325580
Mark Jones,ADRIAN MARK JONES,director,GLOSMEDIA LIMITED,05220161,gb,https://opencorporates.com/companies/gb/05220161
Mark Jones,ADRIAN MARK JONES,director,FIRST ESSEX BUSES LIMITED,01961457,gb,https://opencorporates.com/companies/gb/01961457
Mark Jones,ADRIAN MARK JONES,secretary,RFC LIMITED,03669248,gb,https://opencorporates.com/companies/gb/03669248
Mark Jones,ADRIAN MARK JONES,director,CCB TV LIMITED,03187350,gb,https://opencorporates.com/companies/gb/03187350
Mark Jones,ADRIAN MARK JONES,director,METROLINE WEST LIMITED,08401654,gb,https://opencorporates.com/companies/gb/08401654
Mark Jones,ADRIAN MARK JONES,llp member,WIGGIN LLP,OC308767,gb,https://opencorporates.com/companies/gb/OC308767
Mark Jones,ADRIAN MARK JONES,director,FIRST CAPITAL EAST LIMITED,02218277,gb,https://opencorporates.com/companies/gb/02218277
Mark Jones,ADRIAN MARK JONES,director,CENTREWEST LONDON BUSES LIMITED,02328596,gb,https://opencorporates.com/companies/gb/02328596
Mark Jones,ADRIAN MARK JONES,director,CCB HOLDINGS LIMITED,03128545,gb,https://opencorporates.com/companies/gb/03128545
Mark Jones,ADRIAN MARK JONES,director,CENTREWEST LIMITED,02844270,gb,https://opencorporates.com/companies/gb/02844270
Mark Jones,ADRIAN MARK JONES,director,TOWER TRANSIT OPERATIONS LTD,08314506,gb,https://opencorporates.com/companies/gb/08314506
Mark Jones,ADRIAN MARK JONES,director,FIRST BEELINE BUSES LIMITED,02179403,gb,https://opencorporates.com/companies/gb/02179403
Mark Jones,ADRIAN MARK JONES,director,NEPTUNE NOMINEES LIMITED,05137599,gb,https://opencorporates.com/companies/gb/05137599
Mark Jones,ADRIAN MARK JONES,director,CENTREWEST ESOP TRUSTEE (UK) LIMITED,02907610,gb,https://opencorporates.com/companies/gb/02907610
Mark Jones,ADRIAN MARK JONES,director,FIRST STUDENT UK LIMITED,02073415,gb,https://opencorporates.com/companies/gb/02073415
Mark Jones,ADRIAN MARK JONES,director,FIRST EASTERN COUNTIES BUSES LIMITED,00257815,gb,https://opencorporates.com/companies/gb/00257815
Mark Jones,ADRIAN MARK JONES,director,FIRST CAPITAL NORTH LIMITED,02636481,gb,https://opencorporates.com/companies/gb/02636481
Jack Renshaw,,,,,,""
Yvonne Jeanette Deacon,YVONNE JEANETTE DEACON,director,ELIOTTS BISTRO LIMITED,04837306,gb,https://opencorporates.com/companies/gb/04837306
Norman James Burnett,NORMAN JAMES BURNETT,director,CHRISTIAN COMMUNITY CHURCH (SOUTH KENT),03269700,gb,https://opencorporates.com/companies/gb/03269700
Suzanne Fernandes,,,,,,""
Flora Amar,AMAR KAUR FLORA,director,S.K. COMPONENTS LTD,06955815,gb,https://opencorporates.com/companies/gb/06955815
Flora Amar,AMAR KAUR FLORA,director,DENTAL EXPERT LIMITED,07756926,gb,https://opencorporates.com/companies/gb/07756926
Flora Amar,AMAR KAUR FLORA,director,DENTAL PRACTICE MANAGEMENT SUPPORT LIMITED,07424265,gb,https://opencorporates.com/companies/gb/07424265
Flora Amar,AMAR KAUR FLORA,director,CQC SUPPORT LIMITED,07362751,gb,https://opencorporates.com/companies/gb/07362751
Flora Amar,FLORA AMAR,secretary,MG SUPERFOODS LIMITED,04949467,gb,https://opencorporates.com/companies/gb/04949467
Flora Amar,FLORA AMAR,director,MGCOMPONENTS LIMITED,04402284,gb,https://opencorporates.com/companies/gb/04402284
Flora Amar,FLORA AMAR,secretary,MGCOMPONENTS LIMITED,04402284,gb,https://opencorporates.com/companies/gb/04402284
Flora Amar,FLORA AMAR,director,MG SUPERFOODS LIMITED,04949467,gb,https://opencorporates.com/companies/gb/04949467
Flora Amar,FLORA AMAR,secretary,MEDIAGRADE LIMITED,03533663,gb,https://opencorporates.com/companies/gb/03533663
Rev Anthony,,,,,,""
Dorothy Njivwa Simpungwa Mugara,,,,,,""
Kayode Shedowo,KAYODE SHEDOWO,director,IMAGO DEI ENTERPRISES LIMITED,06936797,gb,https://opencorporates.com/companies/gb/06936797
Kayode Shedowo,KAYODE SHEDOWO,secretary,IMAGO DEI ENTERPRISES LIMITED,06936797,gb,https://opencorporates.com/companies/gb/06936797
Bridget Oyekan,,,,,,""
Nnenna St Luce,,,,,,""
Chikka Roja,,,,,,""
Dan Hannan,,,,,,""
Nirj Deva,,,,,,""
Richard James Ashworth,JAMES RICHARD BARNES ASHWORTH,director,RICHARD ASHWORTH GROUNDWORKS LIMITED,05512560,gb,https://opencorporates.com/companies/gb/05512560
Richard James Ashworth,JAMES RICHARD BARNES ASHWORTH,secretary,J & R GROUNDWORKS LIMITED,07873451,gb,https://opencorporates.com/companies/gb/07873451
Richard James Ashworth,JAMES RICHARD BARNES ASHWORTH,director,J & R GROUNDWORKS LIMITED,07873451,gb,https://opencorporates.com/companies/gb/07873451
Richard James Ashworth,RICHARD JAMES ASHWORTH,director,WOODLAND ENTERPRISES LIMITED,03198057,gb,https://opencorporates.com/companies/gb/03198057
Richard James Ashworth,RICHARD JAMES ASHWORTH,director,UNITED MILK PLC,03686219,gb,https://opencorporates.com/companies/gb/03686219
Marta Andreasen,MARTA ANDREASEN,secretary,UNITED KINGDOM INDEPENDENCE PARTY LIMITED,05090691,gb,https://opencorporates.com/companies/gb/05090691
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,GROUSE WATERSIDE LTD,02284619,gb,https://opencorporates.com/companies/gb/02284619
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,secretary,VCC NETWORK SERVICES LIMITED,02285270,gb,https://opencorporates.com/companies/gb/02285270
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,VCC NETWORK SERVICES LIMITED,02285270,gb,https://opencorporates.com/companies/gb/02285270
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,secretary,GELLERT HILL PROPERTY LIMITED,03929654,gb,https://opencorporates.com/companies/gb/03929654
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,GELLERT HILL PROPERTY LIMITED,03929654,gb,https://opencorporates.com/companies/gb/03929654
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,GROUSE INVESTMENT MANAGEMENT LIMITED,02564759,gb,https://opencorporates.com/companies/gb/02564759
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,ABSOLUTELY ENGLISH JUNIORS LIMITED,04148288,gb,https://opencorporates.com/companies/gb/04148288
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,GROUSE INVESTMENT PLC,02732005,gb,https://opencorporates.com/companies/gb/02732005
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,CHESTNUT TREES MANAGEMENT COMPANY LIMITED,06314291,gb,https://opencorporates.com/companies/gb/06314291
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,BUCKINGHAM STREET INVESTORS LIMITED,02147701,gb,https://opencorporates.com/companies/gb/02147701
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,CHAMBERLEY PHARMACEUTICAL LIMITED,02258564,gb,https://opencorporates.com/companies/gb/02258564
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,PRECIS (717) LIMITED,02255305,gb,https://opencorporates.com/companies/gb/02255305
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,secretary,ABSOLUTELY ENGLISH JUNIORS LIMITED,04148288,gb,https://opencorporates.com/companies/gb/04148288
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,director,GROUSE INVESTMENT PLC,02732005,gb,https://opencorporates.com/companies/gb/02732005
Richard McDonald Robinson,RICHARD MCDONALD ROBINSON,secretary,GROUSE INVESTMENT PLC,02732005,gb,https://opencorporates.com/companies/gb/02732005
Graham John Knight,GRAHAM HERBERT JOHN KNIGHT,director,D.F.G. KNIGHT & SONS LTD,04446168,gb,https://opencorporates.com/companies/gb/04446168
Graham John Knight,GRAHAM JOHN KNIGHT,secretary,COAST PROPERTY MANAGEMENT LIMITED,06405566,gb,https://opencorporates.com/companies/gb/06405566
Graham John Knight,GRAHAM JOHN KNIGHT,director,BENCHMARK INFORMATION LIMITED,SC316713,gb,https://opencorporates.com/companies/gb/SC316713
Graham John Knight,GRAHAM JOHN KNIGHT,director,WEDDINGS PLANNER LIMITED,06629638,gb,https://opencorporates.com/companies/gb/06629638
Graham John Knight,GRAHAM JOHN KNIGHT,secretary,ATLANTIC BOX AND CARTONS LIMITED,02743160,gb,https://opencorporates.com/companies/gb/02743160
Graham John Knight,GRAHAM JOHN KNIGHT,director,GLENVARIGILL COMPANY LIMITED,SC043039,gb,https://opencorporates.com/companies/gb/SC043039
Graham John Knight,GRAHAM JOHN KNIGHT,secretary,CHRIS CAMPBELL (BEXHILL) LIMITED,03456619,gb,https://opencorporates.com/companies/gb/03456619
Graham John Knight,GRAHAM JOHN KNIGHT,director,OVERSTONE CONSTRUCTION LIMITED,05726403,gb,https://opencorporates.com/companies/gb/05726403
Graham John Knight,GRAHAM JOHN KNIGHT,director,24 ELECTRICAL AND SECURITY LIMITED,07159778,gb,https://opencorporates.com/companies/gb/07159778
Graham John Knight,GRAHAM JOHN KNIGHT,director,AVOCET CONSERVATORIES LIMITED,02463109,gb,https://opencorporates.com/companies/gb/02463109
Graham John Knight,GRAHAM JOHN KNIGHT,director,SPARKLERS LIMITED,03509788,gb,https://opencorporates.com/companies/gb/03509788
Graham John Knight,GRAHAM JOHN KNIGHT,secretary,WEDDINGS PLANNER LIMITED,06629638,gb,https://opencorporates.com/companies/gb/06629638
Graham John Knight,GRAHAM JOHN KNIGHT,director,GRAHAM KNIGHT CONSTRUCTION LIMITED,02744053,gb,https://opencorporates.com/companies/gb/02744053
Graham John Knight,GRAHAM JOHN KNIGHT,director,KNIGHT AND CROSS LIMITED,01296790,gb,https://opencorporates.com/companies/gb/01296790
Graham John Knight,GRAHAM JOHN KNIGHT,secretary,1066 H.I.P.S LIMITED,06391791,gb,https://opencorporates.com/companies/gb/06391791
Graham John Knight,GRAHAM JOHN KNIGHT,director,COAST PROPERTY MANAGEMENT LIMITED,06405566,gb,https://opencorporates.com/companies/gb/06405566
Graham John Knight,GRAHAM JOHN KNIGHT,director,SORRY LIMITED,03971239,gb,https://opencorporates.com/companies/gb/03971239
Graham John Knight,GRAHAM JOHN KNIGHT,director,OVERSTONE DEVELOPMENTS LIMITED,01851750,gb,https://opencorporates.com/companies/gb/01851750
Graham John Knight,GRAHAM JOHN KNIGHT,director,PETROSOUND INTERNATIONAL LIMITED,08734572,gb,https://opencorporates.com/companies/gb/08734572
Graham John Knight,GRAHAM JOHN KNIGHT,director,CHATEAUFINE LIMITED,07723973,gb,https://opencorporates.com/companies/gb/07723973
Graham John Knight,GRAHAM JOHN KNIGHT,director,KNIGHT ACCOUNTANTS LIMITED,06023133,gb,https://opencorporates.com/companies/gb/06023133
Graham John Knight,GRAHAM JOHN KNIGHT,secretary,BELLEME LEISURE LIMITED,07591060,gb,https://opencorporates.com/companies/gb/07591060
Graham John Knight,JOHN GRAHAM KNIGHT,director,MEGABAR COMPUTERS LIMITED,02773636,gb,https://opencorporates.com/companies/gb/02773636
Graham John Knight,MICHAEL JOHN GRAHAM KNIGHT,director,MIKE KNIGHT PORTISHEAD LIMITED,01080514,gb,https://opencorporates.com/companies/gb/01080514
Graham John Knight,MICHAEL JOHN GRAHAM KNIGHT,director,MIKE KNIGHT TYRES (SWINDON) LIMITED,00907864,gb,https://opencorporates.com/companies/gb/00907864
Graham John Knight,MICHAEL JOHN GRAHAM KNIGHT,director,MIKE KNIGHT TYRES LIMITED,05441110,gb,https://opencorporates.com/companies/gb/05441110
Julie Marson,JULIE MARSON,director,DIO GENES FINANCIAL LIMITED,07885021,gb,https://opencorporates.com/companies/gb/07885021
Julie Marson,JULIE MARSON,llp designated member,CHRIS MARSON LLP,OC342480,gb,https://opencorporates.com/companies/gb/OC342480
Julie Marson,JULIE MARSON,director,CHRIS MARSON LIMITED,06788479,gb,https://opencorporates.com/companies/gb/06788479
Julie Marson,JULIE MARSON,director,B. J. MARSON LTD.,05329922,gb,https://opencorporates.com/companies/gb/05329922
Julie Marson,JULIE MARSON,secretary,IG LAW LIMITED,05437629,gb,https://opencorporates.com/companies/gb/05437629
Julie Marson,JULIE MARSON,director,JM LAW LIMITED,05437633,gb,https://opencorporates.com/companies/gb/05437633
Julie Marson,JULIE MARSON,secretary,DERBYSHIRE DOMESTIC VIOLENCE AND SEXUAL ABUSE SERVICE,02372121,gb,https://opencorporates.com/companies/gb/02372121
George Anthony Jeffrey,GEORGE ANTHONY JEFFREY,director,JEFFREY MEDIA SERVICES LIMITED,07693571,gb,https://opencorporates.com/companies/gb/07693571
George Anthony Jeffrey,GEORGE ANTHONY JEFFREY,secretary,HITACHI DATA SYSTEMS LIMITED,02332239,gb,https://opencorporates.com/companies/gb/02332239
George Anthony Jeffrey,GEORGE ANTHONY JEFFREY,director,FOX INTERNATIONAL CHANNELS (UK) LIMITED,04467859,gb,https://opencorporates.com/companies/gb/04467859
George Anthony Jeffrey,GEORGE ANTHONY JEFFREY,director,SHED@THEPARK,05657857,gb,https://opencorporates.com/companies/gb/05657857
George Anthony Jeffrey,GEORGE ANTHONY JEFFREY,director,CEE BROADCASTING LIMITED,08284181,gb,https://opencorporates.com/companies/gb/08284181
George Anthony Jeffrey,GEORGE ANTHONY JEFFREY,director,NGC OVERSEAS HOLDINGS LIMITED,03554325,gb,https://opencorporates.com/companies/gb/03554325
Rory Cassian Love,RORY CASSIAN LOVE,director,THE LOCAL GOVERNMENT INFORMATION HOUSE LIMITED,03490270,gb,https://opencorporates.com/companies/gb/03490270
Rory Cassian Love,RORY CASSIAN LOVE,director,EMPLOYERS' ORGANISATION FOR LOCAL GOVERNMENT,03676611,gb,https://opencorporates.com/companies/gb/03676611
Rory Cassian Love,RORY CASSIAN LOVE,director,JSSC,04826715,gb,https://opencorporates.com/companies/gb/04826715
Rory Cassian Love,RORY CASSIAN LOVE,director,THE LOCAL GOVERNMENT NATIONAL TRAINING ORGANISATION,03586187,gb,https://opencorporates.com/companies/gb/03586187
Rory Cassian Love,RORY CASSIAN LOVE,director,LOCAL GOVERNMENT TRAINING & RESEARCH SERVICES LIMITED,02555578,gb,https://opencorporates.com/companies/gb/02555578
Adrian Pepper,ADRIAN CHARLES JOHN PEPPER,secretary,MJAM LIMITED,04752350,gb,https://opencorporates.com/companies/gb/04752350
Adrian Pepper,ADRIAN CHARLES JOHN PEPPER,director,MJAM LIMITED,04752350,gb,https://opencorporates.com/companies/gb/04752350
Adrian Pepper,ADRIAN CHARLES JOHN PEPPER,secretary,HELP 4 YOU LIMITED,04802324,gb,https://opencorporates.com/companies/gb/04802324
Adrian Pepper,ADRIAN CHARLES JOHN PEPPER,director,HELP 4 YOU LIMITED,04802324,gb,https://opencorporates.com/companies/gb/04802324
Adrian Pepper,ADRIAN GORDON PEPPER,director,ST ANDREWS CHEMTECH (HOLDINGS) LIMITED,SC322475,gb,https://opencorporates.com/companies/gb/SC322475
Adrian Pepper,ADRIAN GORDON PEPPER,director,STACI REALISATIONS LIMITED,SC092821,gb,https://opencorporates.com/companies/gb/SC092821
Adrian Pepper,ADRIAN MARK PEPPER,secretary,KILMOVEE LIMITED,06367464,gb,https://opencorporates.com/companies/gb/06367464
Adrian Pepper,ADRIAN NORMAN PEPPER,director,SUSTAINABILITY RESEARCH UNIT LIMITED,08059246,gb,https://opencorporates.com/companies/gb/08059246
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,secretary,GLOBAL BUSINESS RESEARCH LIMITED,04751863,gb,https://opencorporates.com/companies/gb/04751863
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,director,OPEN SUNDAYS LIMITED,08730553,gb,https://opencorporates.com/companies/gb/08730553
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,director,TRADE OUT OF POVERTY,06887115,gb,https://opencorporates.com/companies/gb/06887115
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,director,GLOBAL BUSINESS RESEARCH LIMITED,04751863,gb,https://opencorporates.com/companies/gb/04751863
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,secretary,33 GLOUCESTER STREET FREEHOLD LIMITED,04241180,gb,https://opencorporates.com/companies/gb/04241180
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,director,33 GLOUCESTER STREET FREEHOLD LIMITED,04241180,gb,https://opencorporates.com/companies/gb/04241180
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,director,PEPPER MEDIA LIMITED,04497718,gb,https://opencorporates.com/companies/gb/04497718
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,director,PEPPER PUBLIC AFFAIRS LIMITED,03524536,gb,https://opencorporates.com/companies/gb/03524536
Adrian Pepper,ADRIAN NORMAN SPENCER PEPPER,secretary,PEPPER PUBLIC AFFAIRS LIMITED,03524536,gb,https://opencorporates.com/companies/gb/03524536
Adrian Pepper,ADRIAN PEPPER,director,ADAMS PEPPER & ASSOCIATES LIMITED,01236111,gb,https://opencorporates.com/companies/gb/01236111
Adrian Pepper,ADRIAN PEPPER,secretary,OPEN SUNDAYS LIMITED,08730553,gb,https://opencorporates.com/companies/gb/08730553
Adrian Pepper,ADRIAN PEPPER,llp designated member,AJF MEDIA LLP,OC315908,gb,https://opencorporates.com/companies/gb/OC315908
Adrian Pepper,MARTIN ADRIAN PEPPER,director,OPEN TRAINING SOLUTIONS LIMITED,03821454,gb,https://opencorporates.com/companies/gb/03821454
Adrian Pepper,MARTIN ADRIAN PEPPER,director,MAXIMA TRAINING & DEVELOPMENT LTD,04641440,gb,https://opencorporates.com/companies/gb/04641440
Adrian Pepper,SEBASTIAN ADRIAN CHARLES PEPPER,director,ZDS ACTUARIAL LIMITED,07674925,gb,https://opencorporates.com/companies/gb/07674925
Adrian Pepper,SEBASTIAN ADRIAN CHARLES PEPPER,secretary,ZDS ACTUARIAL LIMITED,07674925,gb,https://opencorporates.com/companies/gb/07674925
Steve Uncles,,,,,,""
Julia Gasper,,,,,,""
Amanda Hopwood,AMANDA HOPWOOD,director,PJB (SALTBURN) LTD,07388995,gb,https://opencorporates.com/companies/gb/07388995
Amanda Hopwood,AMANDA LOUISE HOPWOOD,director,THE INSTITUTE OF ENVIRONMENTAL ASSESSMENT,02505050,gb,https://opencorporates.com/companies/gb/02505050
Simone Clark,FAYE SIMONE MATTI CLARK,secretary,MICHAEL EGAN ASSOCIATES LIMITED,05942028,gb,https://opencorporates.com/companies/gb/05942028
Simone Clark,FAYE SIMONE MATTI CLARK,director,MICHAEL EGAN ASSOCIATES LIMITED,05942028,gb,https://opencorporates.com/companies/gb/05942028
Simone Clark,FAYE SIMONE SINGER-CLARK,director,BEACHES AND CREAM LIMITED,06939509,gb,https://opencorporates.com/companies/gb/06939509
Simone Clark,LYNNE SIMONE CLARK,secretary,A S L FINANCIAL PLANNING LIMITED,05894518,gb,https://opencorporates.com/companies/gb/05894518
Simone Clark,LYNNE SIMONE CLARK,director,A S L FINANCIAL PLANNING LIMITED,05894518,gb,https://opencorporates.com/companies/gb/05894518
Simone Clark,SIMONE CAROLLE CLARK,director,CIRENCESTER DEER PARK SCHOOL,07524811,gb,https://opencorporates.com/companies/gb/07524811
Simone Clark,SIMONE CAROLLE CLARK,director,DEER PARK ENTERPRISES LIMITED,07957129,gb,https://opencorporates.com/companies/gb/07957129
Simone Clark,SIMONE CLARK,director,WRIGHTS CONSTRUCTION LIMITED,06576793,gb,https://opencorporates.com/companies/gb/06576793
Simone Clark,SIMONE LOUISE CLARK,director,SHOO774AA LIMITED,07569830,gb,https://opencorporates.com/companies/gb/07569830
Simone Clark,SIMONE LOUISE CLARK,director,PLANET CRUISE LIMITED,05533352,gb,https://opencorporates.com/companies/gb/05533352
Simone Clark,SIMONE LOUISE CLARK,director,IGLU.COM MIDCO LIMITED,08078867,gb,https://opencorporates.com/companies/gb/08078867
Simone Clark,SIMONE LOUISE CLARK,director,IGLU.COM HOLIDAYS LIMITED,06302323,gb,https://opencorporates.com/companies/gb/06302323
Simone Clark,SIMONE LOUISE CLARK,director,IGLU.COM MIDCO LIMITED,08078867,gb,https://opencorporates.com/companies/gb/08078867
Simone Clark,SIMONE LOUISE CLARK,director,IGLU.COM HOLDCO LIMITED,08079070,gb,https://opencorporates.com/companies/gb/08079070
Simone Clark,SIMONE LOUISE CLARK,director,IGLU.COM LIMITED,03629676,gb,https://opencorporates.com/companies/gb/03629676
Simone Clark,SIMONE LOUISE CLARK,director,IGLU.COM BIDCO LIMITED,08078850,gb,https://opencorporates.com/companies/gb/08078850
Simone Clark,SIMONE LOUISE CLARK,director,IGLU.COM BIDCO LIMITED,08078850,gb,https://opencorporates.com/companies/gb/08078850
Simone Clark,SIMONE LOUISE CLARK,director,IGLU.COM TRUSTEES LIMITED,07425940,gb,https://opencorporates.com/companies/gb/07425940
Simone Clark,VICTORIA SIMONE CHAPMAN-CLARK,director,VEMBERGLAS BUILDERS LIMITED,00892610,gb,https://opencorporates.com/companies/gb/00892610
Steve Clegg,,,,,,""
Milly Uncles,,,,,,""
