Laurence Stassen,,,,,,""
Mark Henry,ADRIAN MARK HENRY SARSON,director,FURNESS-HOULDER (SHIPBROKING) LIMITED,01556993,gb,https://opencorporates.com/companies/gb/01556993
Mark Henry,ALVIN MARK HENRY,director,EAST MIDLANDS ENVIRONMENTAL SERVICES LTD,07770919,gb,https://opencorporates.com/companies/gb/07770919
Mark Henry,ANDREW MARK HENRY,director,D. & J. HENRY LIMITED,01546415,gb,https://opencorporates.com/companies/gb/01546415
Mark Henry,ANDREW MARK HENRY,director,PROTEC INNOVATIONS LIMITED,05683713,gb,https://opencorporates.com/companies/gb/05683713
Mark Henry,ANDREW MARK STUART HENRY,director,ANDREW HENRY INTERIORS LIMITED,06146094,gb,https://opencorporates.com/companies/gb/06146094
Mark Henry,ANDREW MARK STUART HENRY,director,HONEYGROVE HOLDINGS LIMITED,03849800,gb,https://opencorporates.com/companies/gb/03849800
Mark Henry,ANDREW MARK STUART HENRY,director,HONEYGROVE PROPERTIES LIMITED,02289881,gb,https://opencorporates.com/companies/gb/02289881
Mark Henry,ANDREW MARK STUART HENRY,director,34 DOWNLEAZE FLAT MANAGEMENT COMPANY LIMITED,07919923,gb,https://opencorporates.com/companies/gb/07919923
Mark Henry,BENEDICT MARK JOHN HENRY,director,LIVERPOOL & MACKENZIE ROAD FREEHOLD LIMITED,08093275,gb,https://opencorporates.com/companies/gb/08093275
Mark Henry,BENEDICT MARK JOHN HENRY,director,KABE LTD,04675292,gb,https://opencorporates.com/companies/gb/04675292
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,SORT OF BOOKS LIMITED,05014732,gb,https://opencorporates.com/companies/gb/05014732
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,ROUGH GUIDES LIMITED(THE),01969090,gb,https://opencorporates.com/companies/gb/01969090
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,8 PARLIAMENT HILL (FREEHOLD) LIMITED,01612168,gb,https://opencorporates.com/companies/gb/01612168
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,13 POND STREET MANAGEMENT LIMITED,03311662,gb,https://opencorporates.com/companies/gb/03311662
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,CAMARA LEARNING LIMITED,06985729,gb,https://opencorporates.com/companies/gb/06985729
Mark Henry,CHARLES HENRY MARK ELLINGHAM,secretary,FLIGHTSTEP RESIDENTS COMPANY LIMITED,02187875,gb,https://opencorporates.com/companies/gb/02187875
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,FLIGHTSTEP RESIDENTS COMPANY LIMITED,02187875,gb,https://opencorporates.com/companies/gb/02187875
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,PUNK PUBLISHING LIMITED,05577942,gb,https://opencorporates.com/companies/gb/05577942
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,10:10 TRUST,07223810,gb,https://opencorporates.com/companies/gb/07223810
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,SONGLINES PUBLISHING LIMITED,04358063,gb,https://opencorporates.com/companies/gb/04358063
Mark Henry,CHARLES HENRY MARK ELLINGHAM,director,SORT OF LTD.,03216490,gb,https://opencorporates.com/companies/gb/03216490
Mark Henry,CHRISTIAN MARK HENRY MCFARQUHAR,director,PSYCHOLOGICAL CLINICAL SERVICES UK LTD.,07386726,gb,https://opencorporates.com/companies/gb/07386726
Mark Henry,CHRISTIAN MARK HENRY MCFARQUHAR,secretary,ONE STOP DIY LIMITED,06821350,gb,https://opencorporates.com/companies/gb/06821350
Mark Henry,CHRISTIAN MARK HENRY MCFARQUHAR,director,ONE STOP DIY LIMITED,06821350,gb,https://opencorporates.com/companies/gb/06821350
Mark Henry,CHRISTOPHER HENRY MARK JEFFREYS,director,ST. PAULS NOMINEES LIMITED,03428751,gb,https://opencorporates.com/companies/gb/03428751
Mark Henry,CHRISTOPHER HENRY MARK JEFFREYS,director,SAVOY INVESTMENT MANAGEMENT LIMITED,01382994,gb,https://opencorporates.com/companies/gb/01382994
Mark Henry,CHRISTOPHER HENRY MARK JEFFREYS,secretary,ANNA JEFFREYS LIMITED,03592997,gb,https://opencorporates.com/companies/gb/03592997
Mark Henry,CHRISTOPHER HENRY MARK JEFFREYS,director,ASHCOURT ROWAN FINANCIAL PLANNING LIMITED,01799538,gb,https://opencorporates.com/companies/gb/01799538
Mark Henry,CHRISTOPHER HENRY MARK JEFFREYS,director,ASHCOURT ROWAN ADMINISTRATION LIMITED,04327587,gb,https://opencorporates.com/companies/gb/04327587
Mark Henry,CHRISTOPHER HENRY MARK JEFFREYS,director,GUILDHALL INVESTMENT MANAGEMENT LIMITED,02567376,gb,https://opencorporates.com/companies/gb/02567376
Keith Vernon,GARRY KEITH VERNON,director,TRADEASSURED LIMITED,03877178,gb,https://opencorporates.com/companies/gb/03877178
Keith Vernon,KEITH ALAN VERNON,director,QWEST CONSULTING LTD,06434441,gb,https://opencorporates.com/companies/gb/06434441
Keith Vernon,KEITH ERNEST JOHN VERNON,director,UNITY ASPHALT COMPANY (CONTRACTS) LIMITED,01216459,gb,https://opencorporates.com/companies/gb/01216459
Keith Vernon,KEITH ERNEST JOHN VERNON,secretary,UNITY ASPHALT COMPANY (CONTRACTS) LIMITED,01216459,gb,https://opencorporates.com/companies/gb/01216459
Keith Vernon,KEITH ERNEST JOHN VERNON,director,UNITY ASPHALT COMPANY (LONDON) LIMITED,00427407,gb,https://opencorporates.com/companies/gb/00427407
Keith Vernon,KEITH GORDON VERNON,director,WHITE TREE HOUSE (MANAGEMENT) LIMITED,01314473,gb,https://opencorporates.com/companies/gb/01314473
Keith Vernon,KEITH HAROLD VERNON HILL,director,STAYSTRIP GROUP LIMITED,01481306,gb,https://opencorporates.com/companies/gb/01481306
Keith Vernon,KEITH HAROLD VERNON HILL,director,STAYSTRIP LIMITED,00894080,gb,https://opencorporates.com/companies/gb/00894080
Keith Vernon,KEITH HAROLD VERNON HILL,director,APERAM STAINLESS SERVICES & SOLUTIONS TUBES UK LIMITED,02819892,gb,https://opencorporates.com/companies/gb/02819892
Keith Vernon,KEITH JAMES VERNON,director,WITHENPORT LIMITED,01520477,gb,https://opencorporates.com/companies/gb/01520477
Keith Vernon,KEITH JOHN VERNON,secretary,JUST WINDOWS FRANCHISING LIMITED,02971226,gb,https://opencorporates.com/companies/gb/02971226
Keith Vernon,KEITH JOHN VERNON,secretary,DIRECT DOUBLE GLAZING LIMITED,02563810,gb,https://opencorporates.com/companies/gb/02563810
Keith Vernon,KEITH JOHN VERNON,secretary,CENTURIAN HOME IMPROVEMENTS LIMITED,02697949,gb,https://opencorporates.com/companies/gb/02697949
Keith Vernon,KEITH JOHN VERNON,secretary,EASYGLAZE LIMITED,03513268,gb,https://opencorporates.com/companies/gb/03513268
Keith Vernon,KEITH JOHN VERNON,secretary,WINDOW WAREHOUSE (WEST MIDLANDS) LIMITED,02891730,gb,https://opencorporates.com/companies/gb/02891730
Keith Vernon,KEITH JOHN VERNON,secretary,T K INDUSTRIES LIMITED,02665127,gb,https://opencorporates.com/companies/gb/02665127
Keith Vernon,KEITH LANDO VERNON,director,THE LANDSCAPE COMPANY ( UK ) LIMITED,SC354136,gb,https://opencorporates.com/companies/gb/SC354136
