UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH MCKEITHEN,director,CADENCE DESIGN SYSTEMS LIMITED,02457888,gb,https://opencorporates.com/companies/gb/02457888
UK Independence Party (UKIP),south-west,Robert Lee Smith,ROBERT LEE SMITH MCKEITHEN,director,SYMBIONICS GROUP LIMITED,03248564,gb,https://opencorporates.com/companies/gb/03248564
UK Independence Party (UKIP),south-west,Tony McIntyre,TONY MCINTYRE,director,AITIRELAND LTD,06374881,gb,https://opencorporates.com/companies/gb/06374881
UK Independence Party (UKIP),south-west,Tony McIntyre,TONY MCINTYRE,director,DEVON WHEELS 2 WORK C.I.C,05927572,gb,https://opencorporates.com/companies/gb/05927572
UK Independence Party (UKIP),south-west,Gawain Howard Wilkinson,GAWAIN HOWARD WILKINSON TOWLER,director,1 KENNINGTON PARK PLACE LIMITED,05834221,gb,https://opencorporates.com/companies/gb/05834221
UK Independence Party (UKIP),south-west,Julia Reid,CHRISTINE JULIA REID,director,MALCOLM REID ASSOCIATES LIMITED,05087475,gb,https://opencorporates.com/companies/gb/05087475
UK Independence Party (UKIP),south-west,Julia Reid,CHRISTINE JULIA REID,secretary,MALCOLM REID ASSOCIATES LIMITED,05087475,gb,https://opencorporates.com/companies/gb/05087475
UK Independence Party (UKIP),south-west,Julia Reid,CLARE JULIA REID,director,EQUINE EXCELLENCE LIMITED,06652029,gb,https://opencorporates.com/companies/gb/06652029
UK Independence Party (UKIP),south-west,Julia Reid,CLARE JULIA REID,director,EQUINE EXCELLENCE LIMITED,06652029,gb,https://opencorporates.com/companies/gb/06652029
UK Independence Party (UKIP),south-west,Julia Reid,FIONA JULIA REID,director,THE HELPFUL HEAD LTD,07775273,gb,https://opencorporates.com/companies/gb/07775273
UK Independence Party (UKIP),south-west,Julia Reid,HELEN JULIA REID,secretary,REID-IT LIMITED,02745471,gb,https://opencorporates.com/companies/gb/02745471
